atis_abbreviation	what is the yn code
atis_abbreviation	what are fare codes qw and qx
atis_abbreviation	what's the difference between fare code q and fare code b
atis_abbreviation	what does fare code qo mean
atis_abbreviation	what does m mean
atis_abbreviation	what is the code for business class
atis_abbreviation	what is fare code f
atis_abbreviation	what does fare code f mean
atis_abbreviation	what does the fare code f mean
atis_abbreviation	define airline ua
atis_abbreviation	what does us stand for
atis_abbreviation	what does ua mean
atis_abbreviation	what does fare code m mean
atis_abbreviation	could you tell me what the abbreviation us stands for
atis_abbreviation	what does the abbreviation ua mean
atis_abbreviation	what does the abbreviation co mean
atis_abbreviation	what does iah mean
atis_abbreviation	what does mco mean
atis_abbreviation	what is the meaning of meal code s
atis_abbreviation	what does dfw mean
atis_abbreviation	what is fare class h
atis_abbreviation	what the abbreviation us stand for
atis_abbreviation	what does ff mean
atis_abbreviation	does dl stand for delta
atis_abbreviation	what does the abbreviation dl mean
atis_abbreviation	what does co mean
atis_abbreviation	what does ea mean
atis_abbreviation	what is fare code fn
atis_abbreviation	what does ls stand for
atis_abbreviation	what is tpa
atis_abbreviation	explain meal codes sd d
atis_abbreviation	what is phl
atis_abbreviation	code ff
atis_abbreviation	what does the fare code yn mean
atis_abbreviation	define airline us
atis_abbreviation	what does the meal code s stand for
atis_abbreviation	what does fare code bn mean
atis_abbreviation	what is fare code qw
atis_abbreviation	what does fare code qw mean
atis_abbreviation	what does the fare code y mean
atis_abbreviation	what does s designate as a meal
atis_abbreviation	what is hp
atis_abbreviation	what is restriction ap 80
atis_abbreviation	what does the restriction ap58 mean
atis_abbreviation	what is a d9s
atis_abbreviation	what does code qw mean
atis_abbreviation	what does hp stand for
atis_abbreviation	what is ua
atis_abbreviation	what does nw stand for
atis_abbreviation	what is ewr
atis_abbreviation	what does fare code q mean
atis_abbreviation	what is fare code h
atis_abbreviation	fare code y what does that mean
atis_abbreviation	what is restriction ap 55
atis_abbreviation	show me what fare codes symbols stand for
atis_abbreviation	what does ord mean
atis_abbreviation	what does us mean
atis_abbreviation	what is 73s
atis_abbreviation	what does mco stand for
atis_abbreviation	what is cvg
atis_abbreviation	what is the fare code y and what is the fare code h
atis_abbreviation	what is the meaning of fare code qx and qw
atis_abbreviation	what does fn under fare code mean
atis_abbreviation	what does the fare code qw mean
atis_abbreviation	what's fare code yn
atis_abbreviation	what does q mean
atis_abbreviation	what does fare code bh mean
atis_abbreviation	what does code y stand for
atis_abbreviation	explain restriction ap80
atis_abbreviation	what is as
atis_abbreviation	what's the difference between fare code q and fare code f
atis_abbreviation	describe fare code qx
atis_abbreviation	what does yn stand for
atis_abbreviation	please explain fare code f
atis_abbreviation	what does ap57 mean
